area,hpwl,dead_or_overflow
4.729970000000000000e+07,5.058760000000000000e+05,1.186008600000000000e+07
4.442614400000000000e+07,5.232850000000000000e+05,8.986418000000000000e+06
4.667544000000000000e+07,5.145280000000000000e+05,1.123575600000000000e+07
7.789118400000000000e+07,3.202360000000000000e+05,4.244840600000000000e+07
7.436024400000000000e+07,3.261720000000000000e+05,3.891724200000000000e+07
4.442614400000000000e+07,5.232850000000000000e+05,8.986418000000000000e+06
6.170197600000000000e+07,3.269980000000000000e+05,2.625992600000000000e+07
4.465350400000000000e+07,5.216400000000000000e+05,9.213848000000000000e+06
7.479007200000000000e+07,3.253880000000000000e+05,3.934707000000000000e+07
5.087728800000000000e+07,3.480680000000000000e+05,1.543283000000000000e+07
4.442614400000000000e+07,5.232850000000000000e+05,8.986418000000000000e+06
7.252921200000000000e+07,3.262980000000000000e+05,3.708595800000000000e+07
5.437040000000000000e+07,3.319540000000000000e+05,1.892738400000000000e+07
6.124764800000000000e+07,3.292800000000000000e+05,2.580473000000000000e+07
7.789118400000000000e+07,3.202360000000000000e+05,4.244840600000000000e+07
4.729970000000000000e+07,5.058760000000000000e+05,1.186008600000000000e+07
7.715912400000000000e+07,3.226440000000000000e+05,4.171634600000000000e+07
4.428972800000000000e+07,5.262110000000000000e+05,8.849960000000000000e+06
4.758880000000000000e+07,3.704330000000000000e+05,1.214406200000000000e+07
